compartment,family,threshold,ped_pct,gbm_pct,n_ped,odds_ratio,p,kappa
TC,absolute,200.0,31.25,14.262159934047816,80,2.75543266609549,0.00017460314019227718,0.8827712064886786
TC,fractional,0.01,47.5,19.620774938169827,80,3.705191762239487,6.584256198939915e-08,0.9248433976054026
TC,fractional,0.05,45.0,18.054410552349548,80,3.7162345473624945,1.0463170472081006e-07,0.9748532756140063
TC,fractional,0.1,45.0,17.807089859851608,80,3.7790954147961697,8.179488835051608e-08,0.9240930368604982
TC,fractional,0.25,40.0,16.81780708985985,80,3.307917223300482,3.1630245388850104e-06,0.904737360858675
TC,fractional,0.5,35.0,15.581203627370156,80,2.934866189219752,3.8373455337415586e-05,0.899930096605997
TC,fractional,0.75,33.75,15.169002473206925,80,2.8681964389737358,6.570292216472315e-05,0.934692123531041
TC,fractional,1.0,32.5,14.591920857378401,80,2.839359090321747,9.681160022728388e-05,0.8750967820456417
TC,fractional,1.5,30.0,13.272877164056059,80,2.825967834735198,0.00018683540686151838,0.9497933662641275
TC,fractional,2.0,26.25,12.201154163231656,80,2.592677475030416,0.0009212706461324061,0.9685188897036517
TC,fractional,3.0,23.75,10.964550700741961,80,2.566273864985841,0.0017980845706232539,0.9313474609630338
ET,absolute,0.0,22.5,18.87881286067601,80,1.2697690631808278,0.4621648708881916,0.9882835383714119
ET,absolute,5.0,21.25,17.477328936521022,80,1.2988420565076424,0.36777271713301196,0.950725770706414
ET,absolute,10.0,16.25,16.982687551525146,80,0.9757869249394673,1.0,0.8365679264555667
ET,absolute,15.0,16.25,16.81780708985985,80,0.9872860635696822,1.0,0.9011185766065893
ET,absolute,20.0,16.25,16.65292662819456,80,0.9990123456790123,1.0,0.9274945323943097
ET,absolute,30.0,16.25,16.323165704863975,80,1.0231738035264484,1.0,0.9684044233807269
ET,absolute,50.0,15.0,15.746084089035449,80,0.9743477349392998,1.0,1.0
ET,absolute,75.0,13.75,14.83924154987634,80,0.9474282070188724,0.8721233850627252,0.9661590524534688
ET,absolute,100.0,12.5,14.262159934047816,80,0.8931878104114293,0.7430579407257827,0.9420042643923242
ET,absolute,150.0,11.25,13.520197856553999,80,0.8476842306629541,0.7339996348944523,0.9561403508771932
ET,absolute,200.0,10.0,12.778235779060182,80,0.7980707395498392,0.6016659850876188,0.8828976034858388
ET,fractional,0.01,22.5,18.63149216817807,80,1.2905077262693156,0.37828924358570215,1.0
ET,fractional,0.05,16.25,16.982687551525146,80,0.9757869249394673,1.0,0.8365679264555667
ET,fractional,0.1,16.25,16.735366859027206,80,0.9931203931203931,1.0,0.9274945323943097
ET,fractional,0.25,16.25,15.828524319868096,80,1.0612987012987014,0.8751271865765495,0.9684044233807269
ET,fractional,0.5,12.5,14.427040395713108,80,0.8813117536521792,0.7427709583377353,0.9237394242096758
ET,fractional,0.75,11.25,13.93239901071723,80,0.8187594116797656,0.6158154938400688,0.9363383027208084
ET,fractional,1.0,11.25,13.272877164056059,80,0.8658988070752777,0.7332071334640297,0.9342105263157897
ET,fractional,1.5,10.0,12.036273701566364,80,0.8543015181828881,0.7220832198196827,0.9046840958605665
ET,fractional,2.0,8.75,10.882110469909316,80,0.8328840970350404,0.7092459024399839,0.7906033222023835
ET,fractional,3.0,7.5,9.563066776586975,80,0.8219316185154247,0.6933286855426049,0.9070653468040959
